variable_name,value,type,description
banc_neuropeptide_verified_pct_octopamine,0.8%,auto,% of neurons with verified neuropeptide whose neurotransmitter_predicted is octopamine (n=57 / 7025). Methods: NT prediction.
banc_neuropeptide_verified_n_octopamine,57,auto,Count of neurons with verified neuropeptide whose neurotransmitter_predicted is octopamine. Methods: NT prediction.
banc_neuropeptide_verified_pct_serotonin,0.8%,auto,% of neurons with verified neuropeptide whose neurotransmitter_predicted is serotonin (n=57 / 7025). Methods: NT prediction.
banc_neuropeptide_verified_n_serotonin,57,auto,Count of neurons with verified neuropeptide whose neurotransmitter_predicted is serotonin. Methods: NT prediction.
banc_neuropeptide_verified_pct_histamine,0.1%,auto,% of neurons with verified neuropeptide whose neurotransmitter_predicted is histamine (n=7 / 7025). Methods: NT prediction.
banc_neuropeptide_verified_n_histamine,7,auto,Count of neurons with verified neuropeptide whose neurotransmitter_predicted is histamine. Methods: NT prediction.
an_neuron_count,"1,849",auto,Ascending neuron count. Results: Neck connective.
an_neuron_matched_count,"1,768",auto,ANs with MANC match. Results: Neck connective.
an_neuron_not_matched_count,81,auto,ANs without MANC match. Results: Neck connective.
an_cell_type_count,527,auto,AN cell type count. Results: Neck connective.
dn_neuron_count,"1,316",auto,Descending neuron count. Results: Neck connective.
an_dn_count,"3,165",auto,Total AN + DN neurons. Results: Neck connective.
an_dn_cluster_count,17,auto,"Distinct named AN/DN super_clusters in banc.meta (super_class in {ascending, descending}). Methods: Naming AN/DN clusters."
dn_neuron_matched_count,"1,304",auto,DNs with FAFB match. Results: Neck connective.
dn_neuron_not_matched_count,12,auto,DNs without FAFB match. Results: Neck connective.
dn_cell_type_count,473,auto,DN cell type count. Results: Neck connective.
dn_female_specific_neuron_count,16,auto,Female-specific DN neurons identified. Methods: Sexual dimorphism.
dn_female_specific_cell_type_count,8,auto,Female-specific DN cell types. Methods: Sexual dimorphism.
an_female_specific_neuron_count,38,auto,Female-specific AN neurons identified. Methods: Sexual dimorphism.
an_female_specific_cell_type_count,17,auto,Female-specific AN cell types. Methods: Sexual dimorphism.
an_dn_developmental_issue_count,18,auto,AN/DNs with developmental abnormality or stochastic arbor. Results: Neck connective.
ascending_neurons_approx,"1,800",auto,Ascending neuron count rounded to 2 sig figs. Introduction.
descending_neurons_approx,"1,300",auto,Descending neuron count rounded to 2 sig figs. Introduction.
dn_sensory_count,13,auto,Sensory descending neuron count. Results: Neck connective.
dn_sensory_cell_type_count,5,auto,Sensory descending cell type count. Results: Neck connective.
an_sensory_count,517,auto,Sensory ascending neuron count. Results: Neck connective.
an_sensory_cell_type_count,42,auto,Sensory ascending cell type count. Results: Neck connective.
an_efferent_count,5,auto,Ascending visceral circulatory neuron count. Results: Neck connective.
an_efferent_cell_type_count,3,auto,Ascending visceral circulatory cell type count. Results: Neck connective.
neck_efferent_count,49,auto,Neck motor neuron count. Results: Neck connective.
neck_count_all,"3,742",auto,All neck connective neuron segments (meta + CAVE seed plane). Results: Neck connective.
neck_proofread,"3,686",auto,Proofread neck connective neurons. Results: Neck connective.
neck_cave_total,"3,832",auto,Neurons crossing neck seed planes (CAVE). Results: Neck connective.
total_sensory_count,"16,140",auto,"Sensory neurons (super_class contains 'sensory') among proofread + roughly_proofread, excluding non-neurons. Results: Sensory."
orphan_sensory_count,"1,169",auto,Sensory neurons without identified nerve (orphan). Results: Sensory.
sensory_used_count,"14,971",auto,Sensory neurons with identified nerve. Results: Sensory.
total_efferent_count,"1,033",auto,Efferent neurons (flow == 'efferent') among PR + RPR; includes sensory-flagged strand neurons (e.g. SNpp54). Results: Effectors.
effector_category_pct,99.4%,auto,Pct effectors with known body_part_effector. Results: Effectors.
orphan_effector_count,6,auto,Effectors without body_part_effector assignment. Results: Effectors.
sensory_category_pct,103.2%,auto,Pct sensory neurons with known body_part_sensory. Results: Sensory.
motor_neuron_count,805,auto,Motor neurons (super_class == 'motor') among PR + RPR. Results: Effectors.
motor_cell_type_count,205,auto,Motor neuron cell types among PR + RPR. Results: Effectors.
visceral_circulatory_count,221,auto,Visceral/circulatory neurons (super_class == 'visceral_circulatory') among PR + RPR. Results: Effectors.
effector_neuron_count,"1,031",auto,"Effector neurons (super_class in {motor, visceral_circulatory, ascending_visceral_circulatory}) among PR + RPR. Excludes sensory-flagged strand neurons. Results: Effectors."
effector_outputs_within_cns,107,auto,Effector neurons whose cell type has a member with unitary CNS output >= 10 AND a member with total output >= 100 (17 cell types). Results: Effectors.
pre_effector_count,"8,824",auto,Neurons presynaptic to any effector with a unitary connection of count >= 10 synapses (excluding effectors themselves). Fig 2 pre-effector pyramid.
pre_pre_effector_count,"16,838",auto,"Neurons presynaptic to any pre-effector with a unitary connection of count >= 10 synapses, excluding both effectors and pre-effectors. Fig 2 pre-effector pyramid."
banc_mean_kc_output_connections,36.6,auto,Mean KC output connections (unfiltered edgelist). Results: Connectivity.
glia_count,"13,000",auto,Glia count (2 sig figs). Fig 1 legend.
glia_trachea_not_a_neuron_count,"13,108",auto,Non-neuronal objects (glia + trachea + not_a_neuron). Fig 1 legend.
astrocyte_count,413,auto,Astrocyte count (cell_class). Fig 1 legend.
visual_projection_count,"7,321",auto,Visual projection neuron count. Results: Visual.
banc_reviewed_postsynaptic_connections,"4,648",auto,Reviewed postsynaptic connections in the sparse Aelysia sample (manual validation). Methods: Synapses.
banc_reviewed_postsynaptic_neuropils,67,auto,Neuropils covered by synapse review. Methods: Synapses.
banc_reviewed_postsynaptic_connections_dense,"1,011",auto,"Real postsynaptic connections in the dense 16-cutout evaluation (true_positives + false_negatives across all cubes; excludes detector false positives, which were rejected on review). Source of banc_synapse_region_sample_by_neuropil.pdf. Methods: Synapse detection evaluation."
nerve_count,72,auto,Number of annotated peripheral nerves. Results: Sensory.
fafb_photo_count,"8,726",auto,FAFB R1-6 and ocellar photoreceptors (missing from BANC). Discussion.
cns_network_neuron_count,"50,568",auto,"Neurons in CNS spectral clustering (k=14, v3). Results: CNS networks."
cns_network_cluster_count,13,auto,Number of CNS network clusters. Results: CNS networks.
cns_network_neuron_pct,100%,auto,"Percent of intrinsic CB+VNC neurons in clustering, 2 sig figs. Results: CNS networks."
cns_network_an_count,"1,810",auto,ANs in the CNS-network sample. Fig 6e.
cns_network_dn_count,"1,239",auto,DNs in the CNS-network sample. Fig 6e.
cns_network_other_count,"47,519",auto,Non-AN/DN neurons in the CNS-network sample. Fig 6e.
cns_network_andn_other_total,"50,568",auto,Total of cns_network_an_count + dn + other (Fig 6e KS-test n).
spectral_clustering_input_count,"55,643",auto,Neurons input to spectral clustering before iterative pruning. Filter mirrors bancpipeline/banc/clustering/banc-spectral-clustering.R:57-96 (proofread or roughly_proofread; visual_projection + visual_centrifugal plus intrinsic neurons of central_brain/neck_connective/ventral_nerve_cord; optic-lobe intrinsics excluded by region). Methods: CNS networks.
spectral_clustering_pruned_count,"55,167",auto,Neurons after iterative pruning (with cns_network). Methods: CNS networks.
an_dn_cell_type_count,"1,000",auto,AN/DN cell types (excl SA/SN/AN_4/AN_5/IN). Results: AN/DN function.
an_dn_function_count,93,auto,AN/DN cell types with known modality. Results: AN/DN function.
an_dn_function_pct,9.3%,auto,Percentage of AN/DN types with known modality. Results: AN/DN function.
fafb_ct_count_missing,531,auto,FAFB cell types not found in BANC. Discussion.
fafb_ct_prop_missing,6.92%,auto,Proportion of FAFB types missing from BANC. Discussion.
manc_ct_count_missing,171,auto,MANC cell types not found in BANC. Discussion.
manc_ct_prop_missing,5.99%,auto,Proportion of MANC types missing from BANC. Discussion.
effector_category_count,24,auto,Distinct body part effector categories. Results: Effectors.
sensory_category_count,47,auto,Distinct body part sensory categories. Results: Sensory.
flow_afferent_pct_central_brain,16.3%,auto,Afferent proportion in central_brain. Supplement.
flow_efferent_pct_central_brain,0.46%,auto,Efferent proportion in central_brain. Supplement.
flow_intrinsic_pct_central_brain,83.2%,auto,Intrinsic proportion in central_brain. Supplement.
flow_afferent_pct_optic_lobe,2.26%,auto,Afferent proportion in optic_lobe. Supplement.
flow_efferent_pct_optic_lobe,0,auto,Efferent proportion in optic_lobe. Supplement.
flow_intrinsic_pct_optic_lobe,97.7%,auto,Intrinsic proportion in optic_lobe. Supplement.
flow_afferent_pct_ventral_nerve_cord,34.6%,auto,Afferent proportion in ventral_nerve_cord. Supplement.
flow_efferent_pct_ventral_nerve_cord,3.56%,auto,Efferent proportion in ventral_nerve_cord. Supplement.
flow_intrinsic_pct_ventral_nerve_cord,61.9%,auto,Intrinsic proportion in ventral_nerve_cord. Supplement.
connection_type_valid_total,"3,280,626",auto,Total connections with valid compartment labels on both sides. Results: Connectivity.
connection_type_count_axon_axon,"633,949",auto,Connections of type axon-axon (overall). Results: Connectivity.
connection_type_pct_axon_axon,19.3%,auto,Proportion of type axon-axon (overall). Results: Connectivity.
connection_type_count_axon_dendrite,"1,579,292",auto,Connections of type axon-dendrite (overall). Results: Connectivity.
connection_type_pct_axon_dendrite,48.1%,auto,Proportion of type axon-dendrite (overall). Results: Connectivity.
connection_type_count_dendrite_axon,"278,229",auto,Connections of type dendrite-axon (overall). Results: Connectivity.
connection_type_pct_dendrite_axon,8.48%,auto,Proportion of type dendrite-axon (overall). Results: Connectivity.
connection_type_count_dendrite_dendrite,"789,156",auto,Connections of type dendrite-dendrite (overall). Results: Connectivity.
connection_type_pct_dendrite_dendrite,24.1%,auto,Proportion of type dendrite-dendrite (overall). Results: Connectivity.
connection_type_pct_axon_axon_central_brain,22.5%,auto,Proportion of axon-axon in central_brain. Results: Connectivity.
connection_type_pct_axon_dendrite_central_brain,48.4%,auto,Proportion of axon-dendrite in central_brain. Results: Connectivity.
connection_type_pct_dendrite_axon_central_brain,8.48%,auto,Proportion of dendrite-axon in central_brain. Results: Connectivity.
connection_type_pct_dendrite_dendrite_central_brain,20.6%,auto,Proportion of dendrite-dendrite in central_brain. Results: Connectivity.
connection_type_pct_axon_axon_optic_lobe,15.1%,auto,Proportion of axon-axon in optic_lobe. Results: Connectivity.
connection_type_pct_axon_dendrite_optic_lobe,40.2%,auto,Proportion of axon-dendrite in optic_lobe. Results: Connectivity.
connection_type_pct_dendrite_axon_optic_lobe,11.8%,auto,Proportion of dendrite-axon in optic_lobe. Results: Connectivity.
connection_type_pct_dendrite_dendrite_optic_lobe,32.9%,auto,Proportion of dendrite-dendrite in optic_lobe. Results: Connectivity.
connection_type_pct_axon_axon_ventral_nerve_cord,18.8%,auto,Proportion of axon-axon in ventral_nerve_cord. Results: Connectivity.
connection_type_pct_axon_dendrite_ventral_nerve_cord,52.2%,auto,Proportion of axon-dendrite in ventral_nerve_cord. Results: Connectivity.
connection_type_pct_dendrite_axon_ventral_nerve_cord,6.73%,auto,Proportion of dendrite-axon in ventral_nerve_cord. Results: Connectivity.
connection_type_pct_dendrite_dendrite_ventral_nerve_cord,22.4%,auto,Proportion of dendrite-dendrite in ventral_nerve_cord. Results: Connectivity.
fafb_banc_matched_ct_connections,"483,957",auto,Cell-type-to-cell-type connections matched between FAFB and BANC. ED Fig 1.
manc_banc_matched_ct_connections,"434,357",auto,Cell-type-to-cell-type connections matched between MANC and BANC. ED Fig 1.
morphology_review_versus_nblast_pct,47%,auto,Pct neurons where manual match differs from max-NBLAST match. Methods: Cell type matching.
vnc_sexually_dimorphic_count,"2,919",auto,VNC neurons estimated sexually dimorphic. Results: Sexual dimorphism.
vnc_sexually_dimorphic_pct,9%,auto,Pct of female VNC that is sexually dimorphic. Results: Sexual dimorphism.
vnc_sex_specific_count,600,auto,VNC neurons estimated sex-specific. Results: Sexual dimorphism.
vnc_sex_specific_pct,2%,auto,Pct of female VNC that is sex-specific. Results: Sexual dimorphism.
manc_sex_specific_male_count,763,auto,Male-specific MANC neurons (franken.meta). Results: Sexual dimorphism.
manc_dimorphic_male_count,"3,364",auto,Sexually dimorphic MANC (male) neurons (franken.meta). Results: Sexual dimorphism.
